field_name	biological_unit	continuous_or_ordinal	units	sample_donor_key	nerve_type	time_point	n_nonmissing	source_file	figure_table_origin	analysis_candidate_yes_no	reason
Age	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Bulk RNA-seq Nextseq500 sural versus tibial	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Bulk RNA-seq Novaseq moderate versus severe axonal loss	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Chronic otesomyelitis right foot; ESRD; recurrent diabetic foot infection	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Diabetes/control	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Diabetic neurogenic arthropathy	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Left transtibial amputation	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Mild Axonal Loss	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Moderate Axonal Loss	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Non healing left heel wound;PVD (peripheral vascular disease; Diabetic infection of left foot;Gangrene;Acute blood loss anemia; CAD,multiple vessel;Septic Shock	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Normal Axonal Density	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Severe Axonal Loss	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Sex	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Sural nerve morphology assessment (Toluidine blue)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Transtibial knee amputation, left	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Transtibial knee amputation, right	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
critical limb ischemia with hx of revascularization; wound healing, delayed; acute osteomyelitis of left ankle or foot; diabetic ulcer associated with DM due to	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
diabetic foot ulcer osteomyelitis; Charcot's joint, right ankle & foot	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
diabetic infection of right foot; osteomyelitis right foot	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
left diabetic foot infection with septic arthritis of sesamoid metatarsal joint; severe PAD left lower extremity; diabetic neuropathy; diabetic ulcer of left fo	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
nonunion of subtalar joint; left leg pain; hx of leg injury  with chronic pain & swelling	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
osteomyelitis lower left extremity; s/p distal tibial osteotomy for posttraumatic arthritis & recurvatum of distal tibia	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
right foot osteomyelitis s/p ankle disarticulation; diabetic neurogenic arthropathy	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
severe left diabetic foot infection with necrosis and non salvageable limb	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
sural11	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
sural12	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
sural14	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
sural24l, sural24t	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
sural8	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s171.xlsx	DPN_patient_sample_info	NO	keyword found but no direct documented donor-linked clinical key established
Negative Regulation Of Endothelial Cell Proliferation (GO:0001937)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s173.xlsx	A - Enrichment_axonal_loss	NO	keyword found but no direct documented donor-linked clinical key established
Negative Regulation Of Morphogenesis Of An Epithelium (GO:1905331)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s173.xlsx	A - Enrichment_axonal_loss	NO	keyword found but no direct documented donor-linked clinical key established
Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s173.xlsx	A - Enrichment_axonal_loss	NO	keyword found but no direct documented donor-linked clinical key established
Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s173.xlsx	B - Top 10 significant GO terms	NO	keyword found but no direct documented donor-linked clinical key established
Age	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	A-Donor_information	NO	keyword found but no direct documented donor-linked clinical key established
Diabetes (Y/N)	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	A-Donor_information	NO	keyword found but no direct documented donor-linked clinical key established
Pain History	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	A-Donor_information	NO	keyword found but no direct documented donor-linked clinical key established
Sex	unclear_from_public_source_values	AUDIT_REQUIRED	not established	not established	not established	not established	NE	jci-135-184075-s174.xlsx	A-Donor_information	NO	keyword found but no direct documented donor-linked clinical key established
