stable_id	gene_symbol	gene_type	mean_control_wounded	mean_diabetic_wounded	log2FC	median_log2FC	hedges_g	welch_p	BH_FDR	tested	same_median_direction	large_effect_abs_log2FC_ge_0.5	direction
ENSMUSG00000000001	Gnai3	protein_coding	77.447019	76.76929466666667	-0.013741065658215312	-0.00554726494398583	-0.10507004716304245	0.8803373659077663	1.0	True	True	False	down
ENSMUSG00000000028	Cdc45	protein_coding	12.807705364564834	11.00319736175251	-0.26954452497987225	-0.10916286652425233	-0.6181174640980681	0.44287419756580154	1.0	True	True	False	down
ENSMUSG00000000037	Scml2	protein_coding	0.4471191896145201	0.32002435482809666	-0.4002287743443269	-0.21033996704798397	-1.1024157575843556	1.0	1.0	False	True	False	down
ENSMUSG00000000056	Narf	protein_coding	7.776744340407824	5.973625743861841	-0.3562994672273758	-0.49506564298749156	-1.2145823837045526	0.17707389033958323	1.0	True	True	False	down
ENSMUSG00000000058	Cav2	protein_coding	147.19432199100467	139.07245765847065	-0.07419708445549666	-0.06057959371331645	-0.34857297555244177	0.6303489400411979	1.0	True	True	False	down
ENSMUSG00000000078	Klf6	protein_coding	35.20463726501173	51.8691418688985	0.5599948331820208	0.6663029933043996	2.0157216077765843	0.0370829174982582	0.9997149600313526	True	True	True	up
ENSMUSG00000000085	Scmh1	protein_coding	2.7006882976329067	2.434029895054543	-0.13142626804035085	-0.260623477461543	-0.5850784447294733	0.4569639159271328	1.0	True	True	False	down
ENSMUSG00000000088	Cox5a	protein_coding	46.2526387382199	44.88619048484847	-0.03529216927312184	-0.05480312922822428	-0.10475479646651925	0.8807534430255837	1.0	True	True	False	down
ENSMUSG00000000093	Tbx2	protein_coding	4.332817666666667	3.7357006666666663	-0.19510510655701685	-0.1694888380737758	-0.7370581255711245	0.34658299761987843	1.0	True	True	False	down
ENSMUSG00000000120	Ngfr	protein_coding	6.355076333333333	5.782770333333333	-0.14383809167519246	0.06381993618553272	-0.49191816785034037	0.5002258134114381	1.0	True	False	False	down
ENSMUSG00000000126	Wnt9a	protein_coding	8.31095766055873	10.563877987383604	0.34076003924782583	0.4455020829532961	2.18356118439978	0.031327297765177696	0.9997149600313526	True	True	False	up
ENSMUSG00000000127	Fer	protein_coding	12.749050157884634	11.943099396295212	-0.10768873155110104	-0.1758182785617275	-0.3305431173344179	0.644276904008233	1.0	True	True	False	down
ENSMUSG00000000131	Xpo6	protein_coding	1.58126518106777	1.9197408226359365	0.27763497389627456	0.1204597528196818	1.1271358415535229	0.1990961180591442	1.0	True	True	False	up
ENSMUSG00000000134	Tfe3	protein_coding	3.599172521254007	3.5368614075873737	-0.023534374042375683	-0.04027587752286221	-0.2203360502973065	0.7542187624166511	1.0	True	True	False	down
ENSMUSG00000000142	Axin2	protein_coding	1.2801193556725983	1.2466309421842814	-0.0398467057521778	0.024270239991772746	-0.0993990027426908	0.8864952621095125	1.0	True	False	False	down
ENSMUSG00000000148	Brat1	protein_coding	1.113667012299725	1.1330436143388913	0.024789291295294502	0.024829097215271267	0.11161613193518176	0.8727580244155103	1.0	True	True	False	up
ENSMUSG00000000149	Gna12	protein_coding	5.803673520491803	6.32023942974239	0.123302192028798	0.07350058659255332	1.0825760727137275	0.19830027803298408	1.0	True	True	False	up
ENSMUSG00000000154	Slc22a18	protein_coding	5.28758120757308	4.89177295722974	-0.10535246210012073	-0.21772505038295709	-0.480861080638141	0.5072162622603349	1.0	True	True	False	down
ENSMUSG00000000167	Pih1d2	protein_coding	0.8738223198246242	0.8657103740964557	-0.007957841322678884	0.020733511289118843	-0.02713865970738739	1.0	1.0	False	False	False	down
ENSMUSG00000000168	Dlat	protein_coding	8.318372462136717	8.533474806112707	0.03261456235413185	-0.040487601525196926	0.12197457552557522	0.8611988488774852	1.0	True	False	False	up
ENSMUSG00000000171	Sdhd	protein_coding	117.37264766666668	107.35032666666667	-0.13343004743071152	-0.09054180338809203	-0.953433075814592	0.26382722268773195	1.0	True	True	False	down
ENSMUSG00000000184	Ccnd2	protein_coding	21.174438793743565	19.597551176958234	-0.14391589982910613	-0.19775307273250053	-0.3991794847675923	0.595777180950815	1.0	True	True	False	down
